StoX	RstoxFramework	Dependencies	OptionalDependencies	Official	Date
3.6.0	3.6.0	RstoxBase_1.11.0,RstoxData_1.8.0	RstoxFDA_1.1.0-9001	TRUE	2023-01-18
3.6.1	3.6.1	RstoxBase_1.11.2,RstoxData_1.9.0	RstoxFDA_1.2.0	TRUE	2023-05-02
3.6.2-9001	3.6.2-9001	RstoxBase_1.11.3-9003,RstoxData_1.10.0-9006	RstoxFDA_1.2.0	FALSE	2023-06-26
3.6.2	3.6.2	RstoxBase_1.11.3,RstoxData_1.10.1	RstoxFDA_1.2.0	TRUE	2023-06-28
3.6.3-9001	3.6.3-9001	RstoxBase_1.11.4-9001,RstoxData_1.10.2-9001	RstoxFDA_1.3.0-9001	FALSE	2023-10-15
3.6.3-9002	3.6.3-9003	RstoxBase_1.11.4-9003,RstoxData_1.10.2-9004	RstoxFDA_1.3.0-9001	FALSE	2023-11-25
3.6.3-9005	3.6.3-9005	RstoxBase_1.11.4-9005,RstoxData_1.10.2-9005	RstoxFDA_1.3.0-9001	FALSE	2023-12-18
3.6.3-9006	3.6.3-9006	RstoxBase_1.11.4-9006,RstoxData_1.10.2-9005	RstoxFDA_1.3.0-9001	FALSE	2023-12-19
3.6.3-9007	3.6.3-9007	RstoxBase_1.11.4-9009,RstoxData_1.10.2-9006	RstoxFDA_1.3.0-9001	FALSE	2024-04-25
3.6.3-9008	3.6.3-9008	RstoxBase_1.11.4-9011,RstoxData_1.10.2-9008	RstoxFDA_1.3.0-9001	FALSE	2024-05-08
3.6.3-9009	3.6.3-9009	RstoxBase_1.11.4-9012,RstoxData_1.10.2-9009	RstoxFDA_1.3.0-9001	FALSE	2024-05-24
3.6.3-9010	3.6.3-9010	RstoxBase_1.11.4-9013,RstoxData_1.10.2-9009	RstoxFDA_1.3.0-9001	FALSE	2024-05-28
3.6.3-9011	3.6.3-9011	RstoxBase_1.11.4-9014,RstoxData_1.10.2-9010	RstoxFDA_1.3.0-9001	FALSE	2024-07-03
3.6.3-9012	3.6.3-9012	RstoxBase_1.11.4-9015,RstoxData_1.10.2-9011	RstoxFDA_1.3.0-9001	FALSE	2024-07-08
4.0.0	4.0.0	RstoxBase_2.0.0,RstoxData_2.0.0	RstoxFDA_1.2.0	TRUE	2024-07-10
4.0.1-9001	4.0.1-9001	RstoxBase_2.0.1-9001,RstoxData_2.0.1-9001	RstoxFDA_1.3.0-9001	FALSE	2024-09-02
